rank,flare_classification,date,flare_region,start_time,maximum_time,end_time,archive_link
40,X4.99,2001/12/28,9767,20:02,20:45,21:32,"<a href=""https://www.spaceweatherlive.com/en/archive/2001/12/28/xray.html"" target=""_blank"">View Archive</a>"
41,X4.93,2013/11/05,1890,22:07,22:12,22:15,"<a href=""https://www.spaceweatherlive.com/en/archive/2013/11/05/xray.html"" target=""_blank"">View Archive</a>"
42,X4.88,2006/12/13,0930,02:14,02:40,02:57,"<a href=""https://www.spaceweatherlive.com/en/archive/2006/12/13/xray.html"" target=""_blank"">View Archive</a>"
43,X4.77,1998/11/28,8395,04:54,05:52,06:13,"<a href=""https://www.spaceweatherlive.com/en/archive/1998/11/28/xray.html"" target=""_blank"">View Archive</a>"
44,X4.74,2002/07/20,0039,21:04,21:30,21:54,"<a href=""https://www.spaceweatherlive.com/en/archive/2002/07/20/xray.html"" target=""_blank"">View Archive</a>"
45,X4.64,2013/05/14,1748,00:00,01:11,01:20,"<a href=""https://www.spaceweatherlive.com/en/archive/2013/05/14/xray.html"" target=""_blank"">View Archive</a>"
46,X4.58,2014/10/24,2192,21:07,21:41,22:13,"<a href=""https://www.spaceweatherlive.com/en/archive/2014/10/24/xray.html"" target=""_blank"">View Archive</a>"
47,X4.54,2024/09/14,3825,15:13,15:29,15:47,"<a href=""https://www.spaceweatherlive.com/en/archive/2024/09/14/xray.html"" target=""_blank"">View Archive</a>"
48,X4.54,2002/08/24,0069,00:49,01:12,01:31,"<a href=""https://www.spaceweatherlive.com/en/archive/2002/08/24/xray.html"" target=""_blank"">View Archive</a>"
49,X4.52,2024/05/06,3663,05:38,06:35,06:47,"<a href=""https://www.spaceweatherlive.com/en/archive/2024/05/06/xray.html"" target=""_blank"">View Archive</a>"
50,X4.39,2002/07/15,0030,19:59,20:08,20:14,"<a href=""https://www.spaceweatherlive.com/en/archive/2002/07/15/xray.html"" target=""_blank"">View Archive</a>"
